Nom de la demande:Avignon2018;;;;;;;
Pas de temps:Journalier;;;;;;;
Date de début:01/01/2018;;;;;;;
Date de fin:31/10/2018;;;;;;;
Station(s):84007004;;;;;;;
;;;;;;;
UM:HUMIDITE MOYENNE (POURCENTAGE);;;;;;;
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS);;;;;;;
TX:TEMPERATURE MAXIMALE (DEGRES CELSIUS);;;;;;;
TN:TEMPERATURE MINIMALE (DEGRES CELSIUS);;;;;;;
;;;;;;;
station;year;month;day;RH;T_mean;T_max;T_min
84007004;2018;1;1;71;9.4;13.6;3.5
84007004;2018;1;2;67;7.8;12.6;3.1
84007004;2018;1;3;70;10.8;17.8;2.8
84007004;2018;1;4;69;13.4;19.1;7.6
84007004;2018;1;5;77;12.2;20.2;6.9
84007004;2018;1;6;65;14.6;17.2;8.1
84007004;2018;1;7;54;15.4;19.7;11.3
84007004;2018;1;8;76;11.1;11.7;9.1
84007004;2018;1;9;79;10.8;13.8;8.4
84007004;2018;1;10;77;10.3;14.6;8.7
84007004;2018;1;11;77;7.9;12.7;2.9
84007004;2018;1;12;69;8.7;12;7.7
84007004;2018;1;13;77;6.6;13.6;-0.7
84007004;2018;1;14;68;9.9;12.3;6.5
84007004;2018;1;15;77;8.5;12.4;6
84007004;2018;1;16;75;12.3;16.1;8.1
84007004;2018;1;17;48;10.4;12.6;9.2
84007004;2018;1;18;74;6.4;14.6;0
84007004;2018;1;19;73;7.7;14.6;2.5
84007004;2018;1;20;77;6.7;8.7;1.1
84007004;2018;1;21;70;10.5;14.6;5.8
84007004;2018;1;22;70;12.5;19.2;6
84007004;2018;1;23;59;12;15.1;9.5
84007004;2018;1;24;79;8.4;15.4;2
84007004;2018;1;25;74;12.5;14.6;6.3
84007004;2018;1;26;82;8.1;12.8;4.5
84007004;2018;1;27;86;6.9;10.2;4.2
84007004;2018;1;28;74;8;12.8;1.4
84007004;2018;1;29;78;8.7;14.4;2.3
84007004;2018;1;30;78;7.5;13;2
84007004;2018;1;31;82;7.4;12.9;1.2
84007004;2018;2;1;86;7.2;9.1;6.8
84007004;2018;2;2;63;5.9;8.5;4.2
84007004;2018;2;3;61;5.7;9;3.8
84007004;2018;2;4;71;4.5;10.9;-0.9
84007004;2018;2;5;82;6.2;10.3;2.5
84007004;2018;2;6;88;5.2;8.2;3.9
84007004;2018;2;7;67;3.4;6;2
84007004;2018;2;8;70;3.4;6.4;2
84007004;2018;2;9;82;2;8.8;-3.3
84007004;2018;2;10;63;5;7.5;0.8
84007004;2018;2;11;62;6.2;11.2;2.9
84007004;2018;2;12;59;5.6;8.6;3.4
84007004;2018;2;13;55;4.2;9;1.1
84007004;2018;2;14;68;3.9;10.3;-2.9
84007004;2018;2;15;82;6.4;12.6;2.7
84007004;2018;2;16;85;9.4;17.4;3.3
84007004;2018;2;17;91;9.7;12;8.2
84007004;2018;2;18;66;7;10.2;5.7
84007004;2018;2;19;62;6.5;11.4;3.1
84007004;2018;2;20;50;7;11.1;4.4
84007004;2018;2;21;56;4.3;7.4;1.8
84007004;2018;2;22;60;3.7;7.5;1.9
84007004;2018;2;23;59;3.7;8.1;0.7
84007004;2018;2;24;67;4.5;6.6;3.1
84007004;2018;2;25;56;4.4;8.1;2.7
84007004;2018;2;26;36;-0.4;2;-2.3
84007004;2018;2;27;41;-2.8;1.9;-6
84007004;2018;2;28;60;0.3;6.7;-5.2
84007004;2018;3;1;71;7.8;10.1;3.6
84007004;2018;3;2;68;9.5;15.3;6
84007004;2018;3;3;72;10.5;17.8;6.4
84007004;2018;3;4;81;9;14.3;1.8
84007004;2018;3;5;85;9.7;13.3;7.8
84007004;2018;3;6;81;10.1;16.6;7.1
84007004;2018;3;7;68;8.6;14.9;2.7
84007004;2018;3;8;75;7.7;16.2;0.1
84007004;2018;3;9;72;10.9;15.7;3.6
84007004;2018;3;10;70;14.8;18.8;12.5
84007004;2018;3;11;76;14.7;18.4;13.1
84007004;2018;3;12;73;11.4;17.3;6.3
84007004;2018;3;13;61;10.6;16.7;2.8
84007004;2018;3;14;60;11.5;17.3;4
84007004;2018;3;15;84;11;14.2;9.2
84007004;2018;3;16;77;11.1;18.6;3.6
84007004;2018;3;17;80;9.2;14.5;5.1
84007004;2018;3;18;69;8.9;12.5;4.8
84007004;2018;3;19;55;8.6;14.2;4
84007004;2018;3;20;61;5.5;7.5;3.6
84007004;2018;3;21;47;5.9;9.3;2.8
84007004;2018;3;22;42;6.8;11.5;2.5
84007004;2018;3;23;59;;;
84007004;2018;3;24;67;9.4;14.8;1.8
84007004;2018;3;25;70;10.4;16.3;6.2
84007004;2018;3;26;58;12.3;17.2;5.8
84007004;2018;3;27;65;11.3;15.5;8.8
84007004;2018;3;28;68;13.7;20.7;5.4
84007004;2018;3;29;67;13.4;18.8;10.3
84007004;2018;3;30;73;11.7;18.3;8
84007004;2018;3;31;64;10.4;17.4;4.3
84007004;2018;4;1;56;10.5;16.5;4.7
84007004;2018;4;2;61;11;16.1;3
84007004;2018;4;3;56;15.6;21.1;9.7
84007004;2018;4;4;75;15;20.6;13.7
84007004;2018;4;5;63;13.9;20.5;7.3
84007004;2018;4;6;69;13;21.1;4.8
84007004;2018;4;7;58;16;24.6;7
84007004;2018;4;8;46;17.6;20.2;14.1
84007004;2018;4;9;82;13.4;18.5;10.9
84007004;2018;4;10;72;12.9;16.7;10.1
84007004;2018;4;11;82;10.6;15.2;9
84007004;2018;4;12;85;9.3;11.4;6.5
84007004;2018;4;13;75;13.3;17.4;9
84007004;2018;4;14;80;13.4;16.9;10.7
84007004;2018;4;15;69;16;23;7.6
84007004;2018;4;16;56;18.1;22.2;13.9
84007004;2018;4;17;54;19.2;26.1;13.9
84007004;2018;4;18;67;18;26.7;9.8
84007004;2018;4;19;64;17.2;26;9.3
84007004;2018;4;20;64;17.7;27.5;8.5
84007004;2018;4;21;64;18.5;28.1;9.1
84007004;2018;4;22;68;17.4;26.1;9
84007004;2018;4;23;73;17.7;25.1;9.7
84007004;2018;4;24;68;20.2;28.3;14
84007004;2018;4;25;72;19.6;28.3;11.2
84007004;2018;4;26;49;18.1;22.1;15.4
84007004;2018;4;27;68;16.4;23.2;8.5
84007004;2018;4;28;76;17.1;22.4;10.4
84007004;2018;4;29;74;15.7;22.6;13.4
84007004;2018;4;30;78;12.9;18.1;7.6
84007004;2018;5;1;82;12;15.4;10
84007004;2018;5;2;60;15.1;19.7;10.5
84007004;2018;5;3;59;15.8;18.5;13.9
84007004;2018;5;4;63;17.7;21.9;14.8
84007004;2018;5;5;79;18.1;26.6;12.1
84007004;2018;5;6;79;19.2;26.5;13.8
84007004;2018;5;7;83;18.1;25.5;12.9
84007004;2018;5;8;85;17.8;25;13.9
84007004;2018;5;9;75;19.3;25.5;13
84007004;2018;5;10;66;18.1;22.3;14.2
84007004;2018;5;11;67;17.4;24.1;12.9
84007004;2018;5;12;74;17.3;23.2;10.6
84007004;2018;5;13;87;9.2;9.2;7.3
84007004;2018;5;14;79;11.2;16.4;7.6
84007004;2018;5;15;73;15.8;20.5;10.1
84007004;2018;5;16;63;18.1;23.6;13.2
84007004;2018;5;17;65;18.5;24.1;13.6
84007004;2018;5;18;71;18.8;25.9;11.8
84007004;2018;5;19;72;18.6;26.9;11.7
84007004;2018;5;20;73;17.9;27.2;10.6
84007004;2018;5;21;80;17;25.1;11.2
84007004;2018;5;22;85;17.3;22.7;13.5
84007004;2018;5;23;83;17.7;24.8;13.5
84007004;2018;5;24;76;19.1;26.6;12.2
84007004;2018;5;25;70;20.4;27.9;12
84007004;2018;5;26;76;20.4;29.4;14.9
84007004;2018;5;27;74;21.4;27.6;14.1
84007004;2018;5;28;83;19.4;23.3;17.6
84007004;2018;5;29;76;20.4;25.9;13.3
84007004;2018;5;30;89;18.3;21.5;16.8
84007004;2018;5;31;86;18.6;23.6;16.3
84007004;2018;6;1;75;20.6;28.2;12.8
84007004;2018;6;2;78;20.9;28.2;14.2
84007004;2018;6;3;83;19.9;25.9;16.6
84007004;2018;6;4;83;19.8;26.4;17.2
84007004;2018;6;5;79;20.7;27.1;14.5
84007004;2018;6;6;76;20.7;25.2;17.8
84007004;2018;6;7;82;19.7;23.9;16.2
84007004;2018;6;8;75;21.3;28.4;17
84007004;2018;6;9;72;22.3;29.7;14.6
84007004;2018;6;10;64;22.7;29.4;16.5
84007004;2018;6;11;83;20.1;25.8;17.4
84007004;2018;6;12;79;19.7;26.6;15.6
84007004;2018;6;13;69;19.2;23.1;16
84007004;2018;6;14;54;20.7;24.7;16.1
84007004;2018;6;15;55;22.6;27.8;18.2
84007004;2018;6;16;55;24.2;29.5;18.9
84007004;2018;6;17;56;23.3;27.3;20.1
84007004;2018;6;18;52;22.9;27.6;18.5
84007004;2018;6;19;56;25.6;31.7;19.5
84007004;2018;6;20;63;25.2;32.7;16.9
84007004;2018;6;21;62;26.3;33.8;17.6
84007004;2018;6;22;45;21.9;25.5;18.3
84007004;2018;6;23;43;22.1;28.1;16.2
84007004;2018;6;24;43;23.3;29.2;18.5
84007004;2018;6;25;46;24;29.7;18.8
84007004;2018;6;26;60;23.3;30.4;15.6
84007004;2018;6;27;53;25.4;32.5;15.9
84007004;2018;6;28;49;24.8;30.7;21
84007004;2018;6;29;67;23.6;30.8;16.4
84007004;2018;6;30;60;24.6;33;15.8
84007004;2018;7;1;57;24.7;33.3;15.8
84007004;2018;7;2;64;24.8;31.7;16.6
84007004;2018;7;3;67;26.2;32.8;19.3
84007004;2018;7;4;67;26.3;33.3;18.8
84007004;2018;7;5;56;25.8;31.7;20
84007004;2018;7;6;53;25.2;30;19.8
84007004;2018;7;7;46;27.2;32.4;21.5
84007004;2018;7;8;43;27.5;33.6;21.6
84007004;2018;7;9;38;28;33;23.3
84007004;2018;7;10;39;27.2;32.4;22.4
84007004;2018;7;11;40;24.2;29.1;20.5
84007004;2018;7;12;45;24.3;31;18.5
84007004;2018;7;13;50;25.6;35.4;15.6
84007004;2018;7;14;57;26.5;35.3;19.8
84007004;2018;7;15;60;26.3;35.3;19.8
84007004;2018;7;16;66;23.7;28.1;20.7
84007004;2018;7;17;44;27.4;33.2;21.7
84007004;2018;7;18;45;27.3;34.6;21.8
84007004;2018;7;19;47;27.7;35.6;18.7
84007004;2018;7;20;63;25.7;34.9;18.8
84007004;2018;7;21;64;24;29.7;17.8
84007004;2018;7;22;47;25.5;30.8;20.1
84007004;2018;7;23;45;27.3;33.3;22.2
84007004;2018;7;24;62;26.1;33.4;18.4
84007004;2018;7;25;55;28;35.9;19.6
84007004;2018;7;26;56;27.9;36.8;19.7
84007004;2018;7;27;62;27.2;35.1;19.7
