Nom de la demande:Avignon2019_daily;;;;;;;;;
Pas de temps:Journalier;;;;;;;;;
Date de début:01/01/2019;;;;;;;;;
Date de fin:30/09/2019;;;;;;;;;
Station(s):84007004;;;;;;;;;
;;;;;;;;;
DH:DUREE D'HUMECTATION JOURNALIERE (HEURES ET DIXIEMES);;;;;;;;;
RR:HAUTEUR DES PRECIPITATIONS (MILLIMETRES);;;;;;;;;
UM:HUMIDITE MOYENNE (POURCENTAGE);;;;;;;;;
TN:TEMPERATURE MINIMALE (DEGRES CELSIUS);;;;;;;;;
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS);;;;;;;;;
TX:TEMPERATURE MAXIMALE (DEGRES CELSIUS);;;;;;;;;
;;;;;;;;;
station;year;month;day;wetness_duration_h;rain_mm;RH;t_min;t_mean;t_max
84007004;2019;1;1;0;0;72;5.7;8.5;12
84007004;2019;1;2;0;0.5;59;6.5;7.5;9.4
84007004;2019;1;3;0;0;56;3;4.5;7
84007004;2019;1;4;0;0;60;1.9;4.2;7
84007004;2019;1;5;0;0;65;3.7;5.2;6.7
84007004;2019;1;6;0;0;65;5.4;6.1;8.1
84007004;2019;1;7;0;0;65;4.4;5.6;7.6
84007004;2019;1;8;0;0;66;5.1;7.7;10
84007004;2019;1;9;0;0;61;4.1;6.4;9
84007004;2019;1;10;0;0;62;3.2;4.4;6.1
84007004;2019;1;11;0;0;62;1.7;3.4;5.4
84007004;2019;1;12;0;0;64;3.1;7.1;10.2
84007004;2019;1;13;0;0;70;5.4;9.2;12.6
84007004;2019;1;14;0;0;63;8.2;10.1;13.6
84007004;2019;1;15;0;0;63;6.7;7.7;11.6
84007004;2019;1;16;4.6;0;74;-2.5;6.1;14.4
84007004;2019;1;17;13.3;0;80;7;9.2;13.6
84007004;2019;1;18;0;0;61;3.8;5.3;8
84007004;2019;1;19;15.1;0;78;-2.9;3;11.6
84007004;2019;1;20;18.2;0;85;0.9;3.4;8.8
84007004;2019;1;21;9;0;77;-3.1;3.9;9
84007004;2019;1;22;0;0;68;1.1;3.1;8
84007004;2019;1;23;3.6;3;80;-2.6;1.7;6.6
84007004;2019;1;24;0;0;60;2.6;3.2;5.1
84007004;2019;1;25;0;0;49;0.3;3;6.1
84007004;2019;1;26;0;0;60;3.3;7.3;13.6
84007004;2019;1;27;1;0;67;-0.4;7;14.9
84007004;2019;1;28;0;0;58;1.4;5.4;9.6
84007004;2019;1;29;4.9;1.5;61;2.6;4.8;8.2
84007004;2019;1;30;11.2;0;70;-0.4;4.7;9.4
84007004;2019;1;31;6.8;9;77;3.1;7.3;11.6
84007004;2019;2;1;24;26.5;97;7.8;8.8;11.6
84007004;2019;2;2;17.7;17;90;5.5;6.2;7.6
84007004;2019;2;3;0;0;65;4.1;5.3;7.1
84007004;2019;2;4;0;0;61;2.9;5.1;9.6
84007004;2019;2;5;0;0;53;1.9;6.7;12.4
84007004;2019;2;6;2.3;0;64;3.3;6.5;14.1
84007004;2019;2;7;3.8;0;75;-1.5;5.2;13.2
84007004;2019;2;8;3.5;0;70;3.5;7.6;14.3
84007004;2019;2;9;15.2;0;83;0.1;6.8;15.3
84007004;2019;2;10;4.3;0;70;5.2;10.2;15
84007004;2019;2;11;0;0;62;2;7.7;12.1
84007004;2019;2;12;0;0;58;5.6;7.9;11.7
84007004;2019;2;13;1;0;65;2.5;6.9;15
84007004;2019;2;14;13;0;76;-1.4;5.6;16.3
84007004;2019;2;15;13.4;0;75;-1.7;6.1;18.7
84007004;2019;2;16;15.4;0.5;75;-1.8;6.8;18.8
84007004;2019;2;17;15.8;0;86;-1.7;6.6;16.4
84007004;2019;2;18;15.4;0;82;4.2;7.9;14.7
84007004;2019;2;19;14.9;0;80;1.8;6.8;15
84007004;2019;2;20;14.1;0.5;82;-0.1;6.6;15.6
84007004;2019;2;21;16.3;0;84;0.6;7.5;16.2
84007004;2019;2;22;2.7;0;53;2.4;14.3;19.7
84007004;2019;2;23;5.5;0;68;6.4;12.4;20.1
84007004;2019;2;24;14.7;0;82;5.8;10.4;16.6
84007004;2019;2;25;16;0;82;2.7;9.3;18.9
84007004;2019;2;26;15.3;0.5;76;1.9;9.8;20.8
84007004;2019;2;27;13.9;0;71;1.2;10.6;23.2
84007004;2019;2;28;8.7;0;60;1.9;12.8;22.7
84007004;2019;3;1;0;0;49;7.6;13.6;18.6
84007004;2019;3;2;0.6;0;61;8.9;12;18
84007004;2019;3;3;4.7;0;66;4.8;11.3;19.8
84007004;2019;3;4;8.8;0;63;4.4;11.3;18.4
84007004;2019;3;5;2.3;0;54;8.5;11.8;18.1
84007004;2019;3;6;0;5;59;6;12.2;16
84007004;2019;3;7;5.6;0;63;9.4;13;18.5
84007004;2019;3;8;10;0;72;3.3;9.5;17.4
84007004;2019;3;9;9.5;0;73;3.2;10.9;19.6
84007004;2019;3;10;7.5;0;75;6;12;16.1
84007004;2019;3;11;0;0;47;8.5;11.1;16.1
84007004;2019;3;12;0;0;53;3.4;8.8;16.2
84007004;2019;3;13;1.6;0;56;4.5;9.9;15.4
84007004;2019;3;14;0;0;55;6.2;11.3;16.2
84007004;2019;3;15;0.2;0;62;8.9;14.3;19.7
84007004;2019;3;16;0;0;54;11.5;15.4;24.3
84007004;2019;3;17;3.9;0;62;4.1;12.1;20
84007004;2019;3;18;0;0;47;6.3;9.8;13.4
84007004;2019;3;19;0;0;49;6.9;10.5;14.6
84007004;2019;3;20;0.4;0;46;6.1;10.6;16.7
84007004;2019;3;21;4.9;0;55;0.8;9.7;18.9
84007004;2019;3;22;7.4;0;55;1.8;12.1;24
84007004;2019;3;23;6;0;49;1.8;14.2;24.7
84007004;2019;3;24;3.9;0;51;3.8;15;25.1
84007004;2019;3;25;0;0;47;11;13.1;17.1
84007004;2019;3;26;0;0;43;6.9;11;15.5
84007004;2019;3;27;0;0;41;7.2;12.2;17.7
84007004;2019;3;28;1.7;0;52;5.1;11.9;19.1
84007004;2019;3;29;8.3;0;64;4.7;11.5;19.1
84007004;2019;3;30;11.3;0;64;1.7;10.4;19.4
84007004;2019;3;31;9.7;0;62;1.1;10.8;20.5
84007004;2019;4;1;10.1;0;62;4.3;12.2;21.1
84007004;2019;4;2;8.8;0;75;3.9;12;18.6
84007004;2019;4;3;20;31;90;7.7;9.2;11.9
84007004;2019;4;4;7.8;0;68;3.4;8.9;14.8
84007004;2019;4;5;1.4;0;65;0.9;10;17
84007004;2019;4;6;8.4;6;74;9.7;10;11.7
84007004;2019;4;7;2.4;0;68;5.2;11.3;17.1
84007004;2019;4;8;6.9;0;70;3.2;11.2;18.6
84007004;2019;4;9;7.5;0;74;3.5;12.1;20.1
84007004;2019;4;10;6;0;64;6.9;13.8;20
84007004;2019;4;11;0;0;58;11.4;14.5;17.9
84007004;2019;4;12;0;0;43;9.2;13.5;18.1
84007004;2019;4;13;0;0;40;8.4;12.6;17.9
84007004;2019;4;14;0;0;36;5.5;10;14.6
84007004;2019;4;15;0;0;58;4.5;11.8;19.1
84007004;2019;4;16;10.5;0.5;75;10.3;12.3;17.6
84007004;2019;4;17;10.3;0;74;4.7;12.4;20.5
84007004;2019;4;18;10.6;0;72;6.4;14.2;22.5
84007004;2019;4;19;9.9;0;65;7.5;15.4;24.8
84007004;2019;4;20;7.1;0;61;6.4;15.9;24.5
84007004;2019;4;21;7.6;0;61;14.1;15.7;20.1
84007004;2019;4;22;12.8;4.5;65;7.3;16.5;26.7
84007004;2019;4;23;14;5;83;12.8;15.2;18.9
84007004;2019;4;24;5.4;1;68;14.5;15.6;19
84007004;2019;4;25;7.3;23.5;69;13.6;15;18.6
84007004;2019;4;26;12.2;2.5;77;6.6;11.9;19
84007004;2019;4;27;7.1;0;63;5.2;13.9;21.1
84007004;2019;4;28;0;0;50;9.1;12.9;17.3
84007004;2019;4;29;0;0;56;8.3;12.7;17.3
84007004;2019;4;30;0;0;51;10.5;15.9;21.1
84007004;2019;5;1;3.8;0;62;11.7;16.5;23.2
84007004;2019;5;2;8.9;0;70;8.6;15.3;23.1
84007004;2019;5;3;0;0;53;11.4;15.5;20.2
84007004;2019;5;4;0.6;0;51;11.3;14.5;20.4
84007004;2019;5;5;0;0.5;45;6.7;9.9;13.8
84007004;2019;5;6;0;0;45;6.8;12.2;17.3
84007004;2019;5;7;3;0;57;3.9;13.9;21.7
84007004;2019;5;8;7.8;6.5;74;13;14.4;16.7
84007004;2019;5;9;9;0;69;9.6;15.6;21.7
