Harvest;Syst;Mod;Exp;Tree;Rang;Cal;W_calibre;N_sain_cal;N_rot_cal;N_pic_cal;N_epi_cal;N_tot_cal;perc_rot;perc_cal
1;ECO;S2M1;M1_400_100%;1;R2;C;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;1;R2;B;845;6;0;0;0;6;0;9.836065574
1;ECO;S2M1;M1_400_100%;1;R2;A;5923;29;0;4;2;35;0;57.37704918
1;ECO;S2M1;M1_400_100%;1;R2;2A;4152;16;0;4;0;20;0;32.78688525
1;ECO;S2M1;M1_400_100%;1;R2;3A;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;2;R2;C;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;2;R2;B;799;3;0;1;2;6;0;9.836065574
1;ECO;S2M1;M1_400_100%;2;R2;A;5493;28;0;2;2;32;0;52.45901639
1;ECO;S2M1;M1_400_100%;2;R2;2A;4735;20;0;1;2;23;0;37.70491803
1;ECO;S2M1;M1_400_100%;2;R2;3A;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;3;R3;C;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;3;R3;B;1973;13;0;0;1;14;0;22.95081967
1;ECO;S2M1;M1_400_100%;3;R3;A;6519;31;0;4;3;38;0;62.29508197
1;ECO;S2M1;M1_400_100%;3;R3;2A;1601;6;0;0;2;8;0;13.1147541
1;ECO;S2M1;M1_400_100%;3;R3;3A;237;1;0;0;0;1;0;1.639344262
1;ECO;S2M1;M1_400_100%;4;R3;C;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;4;R3;B;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;4;R3;A;2136;12;0;0;0;12;0;19.04761905
1;ECO;S2M1;M1_400_100%;4;R3;2A;9335;38;0;3;2;43;0;68.25396825
1;ECO;S2M1;M1_400_100%;4;R3;3A;2136;8;0;0;0;8;0;12.6984127
1;ECO;S2M1;M1_400_100%;5;R5;C;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;5;R5;B;434;2;0;1;0;3;0;5
1;ECO;S2M1;M1_400_100%;5;R5;A;4825;21;0;4;3;28;0;46.66666667
1;ECO;S2M1;M1_400_100%;5;R5;2A;5889;18;0;9;1;28;0;46.66666667
1;ECO;S2M1;M1_400_100%;5;R5;3A;238;1;0;0;0;1;0;1.666666667
1;ECO;S2M1;M1_400_100%;6;R5;C;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;6;R5;B;0;0;0;0;0;0;NA;0
1;ECO;S2M1;M1_400_100%;6;R5;A;2864;12;0;1;3;16;0;23.52941176
1;ECO;S2M1;M1_400_100%;6;R5;2A;9583;41;0;2;2;45;0;66.17647059
1;ECO;S2M1;M1_400_100%;6;R5;3A;1760;7;0;0;0;7;0;10.29411765
1;ECO;S2M2;M2_200_100%;1;R2;C;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;1;R2;B;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;1;R2;A;2055;11;0;0;1;12;0;18.18181818
1;ECO;S2M2;M2_200_100%;1;R2;2A;8891;34;0;4;4;42;0;63.63636364
1;ECO;S2M2;M2_200_100%;1;R2;3A;3064;7;0;3;2;12;0;18.18181818
1;ECO;S2M2;M2_200_100%;2;R2;C;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;2;R2;B;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;2;R2;A;2137;11;0;0;1;12;0;20
1;ECO;S2M2;M2_200_100%;2;R2;2A;9688;38;0;4;2;44;0;73.33333333
1;ECO;S2M2;M2_200_100%;2;R2;3A;1023;4;0;0;0;4;0;6.666666667
1;ECO;S2M2;M2_200_100%;3;R3;C;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;3;R3;B;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;3;R3;A;2390;11;0;1;1;13;0;20
1;ECO;S2M2;M2_200_100%;3;R3;2A;8385;31;1;6;2;40;0.025;61.53846154
1;ECO;S2M2;M2_200_100%;3;R3;3A;3210;10;0;2;0;12;0;18.46153846
1;ECO;S2M2;M2_200_100%;4;R3;C;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;4;R3;B;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;4;R3;A;1822;9;0;0;1;10;0;16.12903226
1;ECO;S2M2;M2_200_100%;4;R3;2A;9440;41;0;0;2;43;0;69.35483871
1;ECO;S2M2;M2_200_100%;4;R3;3A;2332;7;0;1;1;9;0;14.51612903
1;ECO;S2M2;M2_200_100%;5;R5;C;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;5;R5;B;117;0;0;0;1;1;0;1.612903226
1;ECO;S2M2;M2_200_100%;5;R5;A;4064;20;0;1;2;23;0;37.09677419
1;ECO;S2M2;M2_200_100%;5;R5;2A;7222;25;0;7;3;35;0;56.4516129
1;ECO;S2M2;M2_200_100%;5;R5;3A;789;0;0;2;1;3;0;4.838709677
1;ECO;S2M2;M2_200_100%;6;R5;C;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;6;R5;B;0;0;0;0;0;0;NA;0
1;ECO;S2M2;M2_200_100%;6;R5;A;4486;21;0;2;1;24;0;38.70967742
1;ECO;S2M2;M2_200_100%;6;R5;2A;5669;22;0;4;0;26;0;41.93548387
1;ECO;S2M2;M2_200_100%;6;R5;3A;3153;8;0;3;1;12;0;19.35483871
1;ECO;S2M3;M3_400_50%;1;R1;C;0;0;0;0;0;0;NA;0
1;ECO;S2M3;M3_400_50%;1;R1;B;1805;11;0;1;1;13;0;21.31147541
1;ECO;S2M3;M3_400_50%;1;R1;A;5911;27;0;5;2;34;0;55.73770492
1;ECO;S2M3;M3_400_50%;1;R1;2A;2897;10;0;4;0;14;0;22.95081967
1;ECO;S2M3;M3_400_50%;1;R1;3A;0;0;0;0;0;0;NA;0
1;ECO;S2M3;M3_400_50%;2;R1;C;1514;14;0;0;0;14;0;23.33333333
1;ECO;S2M3;M3_400_50%;2;R1;B;4887;34;0;1;1;36;0;60
1;ECO;S2M3;M3_400_50%;2;R1;A;1684;6;0;2;2;10;0;16.66666667
1;ECO;S2M3;M3_400_50%;2;R1;2A;0;0;0;0;0;0;NA;0
1;ECO;S2M3;M3_400_50%;2;R1;3A;0;0;0;0;0;0;NA;0
1;ECO;S2M3;M3_400_50%;3;R1;C;0;0;0;0;0;0;NA;0
1;ECO;S2M3;M3_400_50%;3;R1;B;5608;39;0;2;2;43;0;68.25396825
1;ECO;S2M3;M3_400_50%;3;R1;A;3122;17;0;1;0;18;0;28.57142857
1;ECO;S2M3;M3_400_50%;3;R1;2A;392;2;0;0;0;2;0;3.174603175
1;ECO;S2M3;M3_400_50%;3;R1;3A;0;0;0;0;0;0;NA;0
1;ECO;S2M3;M3_400_50%;4;R6;C;223;2;0;0;0;2;0;3.636363636
1;ECO;S2M3;M3_400_50%;4;R6;B;3179;21;0;2;0;23;0;41.81818182
1;ECO;S2M3;M3_400_50%;4;R6;A;4150;18;0;1;2;21;0;38.18181818
1;ECO;S2M3;M3_400_50%;4;R6;2A;2207;6;0;2;1;9;0;16.36363636
1;ECO;S2M3;M3_400_50%;4;R6;3A;0;0;0;0;0;0;NA;0
1;ECO;S2M3;M3_400_50%;5;R6;C;1169;11;0;0;0;11;0;18.33333333
1;ECO;S2M3;M3_400_50%;5;R6;B;5166;34;0;3;2;39;0;65
