Date;Harvest;Pick;Syst;Syst_tree;caliber;N_sain_cal;N_rot_cal;N_pic_cal;N_epi_cal;N_epi2_cal;N_tot_cal
18/07/2019;;1;S1;S1 A01;C ;;;;;;
18/07/2019;;1;S1;S1 A01;B;3;;;;;3
18/07/2019;;1;S1;S1 A01;A;14;;2;;;16
18/07/2019;;1;S1;S1 A01;2A;31;;;;1;32
18/07/2019;;1;S1;S1 A01;3A;4;;;;;4
18/07/2019;;1;S1;S1 A02;C ;;;;;;
18/07/2019;;1;S1;S1 A02;B;9;;;;;9
18/07/2019;;1;S1;S1 A02;A;41;2;;1;1;45
18/07/2019;;1;S1;S1 A02;2A;9;;;;;9
18/07/2019;;1;S1;S1 A02;3A;1;;;;;1
18/07/2019;;1;S1;S1 A03;C ;;;;;;
18/07/2019;;1;S1;S1 A03;B;;;;;;
18/07/2019;;1;S1;S1 A03;A;3;;;;;3
18/07/2019;;1;S1;S1 A03;2A;24;1;3;;7;35
18/07/2019;;1;S1;S1 A03;3A;5;;1;;3;9
18/07/2019;;1;S1;S1 A04;C ;;;;;;
18/07/2019;;1;S1;S1 A04;B;;;;;;
18/07/2019;;1;S1;S1 A04;A;3;;1;;2;6
18/07/2019;;1;S1;S1 A04;2A;24;;1;1;7;33
18/07/2019;;1;S1;S1 A04;3A;8;1;;;2;11
18/07/2019;;1;S1;S1 A05;C ;;;;;;
18/07/2019;;1;S1;S1 A05;B;6;;;;;6
18/07/2019;;1;S1;S1 A05;A;34;;1;1;2;38
18/07/2019;;1;S1;S1 A05;2A;11;1;;1;2;15
18/07/2019;;1;S1;S1 A05;3A;;;;;;
18/07/2019;;1;S1;S1 A06;C ;;;;;;
18/07/2019;;1;S1;S1 A06;B;5;;;;;5
18/07/2019;;1;S1;S1 A06;A;26;;2;1;;29
18/07/2019;;1;S1;S1 A06;2A;27;1;;1;3;32
18/07/2019;;1;S1;S1 A06;3A;4;;2;;;6
18/07/2019;;1;S1;S1 A07;C ;;;;;;
18/07/2019;;1;S1;S1 A07;B;4;;;;;4
18/07/2019;;1;S1;S1 A07;A;27;1;7;1;2;38
18/07/2019;;1;S1;S1 A07;2A;21;;4;;4;29
18/07/2019;;1;S1;S1 A07;3A;0;;;;1;1
18/07/2019;;1;S1;S1 A08;C ;;;;;;
18/07/2019;;1;S1;S1 A08;B;3;;1;;2;6
18/07/2019;;1;S1;S1 A08;A;20;;4;;5;29
18/07/2019;;1;S1;S1 A08;2A;12;;1;1;;14
18/07/2019;;1;S1;S1 A08;3A;1;;;;;1
18/07/2019;;1;S1;S1 A09;C ;;;;;;
18/07/2019;;1;S1;S1 A09;B;3;;;;2;5
18/07/2019;;1;S1;S1 A09;A;17;1;3;1;3;25
18/07/2019;;1;S1;S1 A09;2A;22;;4;;1;27
18/07/2019;;1;S1;S1 A09;3A;1;;;;;1
18/07/2019;;1;S1;S1 A10;C ;2;;;;;2
18/07/2019;;1;S1;S1 A10;B;21;;3;;2;26
18/07/2019;;1;S1;S1 A10;A;25;1;2;;1;29
18/07/2019;;1;S1;S1 A10;2A;17;;1;;4;22
18/07/2019;;1;S1;S1 A10;3A;1;;;;;1
18/07/2019;;1;S1;S1 A11;C ;;;;;;
18/07/2019;;1;S1;S1 A11;B;8;;;;2;10
18/07/2019;;1;S1;S1 A11;A;33;;2;;3;38
18/07/2019;;1;S1;S1 A11;2A;18;;3;;4;25
18/07/2019;;1;S1;S1 A11;3A;4;;;;;4
18/07/2019;;1;S1;S1 A12;C ;;;;;;
18/07/2019;;1;S1;S1 A12;B;4;;;;;4
18/07/2019;;1;S1;S1 A12;A;28;;2;;5;35
18/07/2019;;1;S1;S1 A12;2A;27;;1;;3;31
18/07/2019;;1;S1;S1 A12;3A;0;;;;1;1
22/07/2019;1;1;S2;S2 1 A01;C ;1;;;;;1
22/07/2019;1;1;S2;S2 1 A01;B;34;;2;2;;38
22/07/2019;1;1;S2;S2 1 A01;A;59;;9;7;2;77
22/07/2019;1;1;S2;S2 1 A01;2A;19;;2;;;21
22/07/2019;1;1;S2;S2 1 A01;3A;;;;;;
22/07/2019;1;1;S2;S2 1 A02;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A02;B;3;;;;;3
22/07/2019;1;1;S2;S2 1 A02;A;56;;6;2;;64
22/07/2019;1;1;S2;S2 1 A02;2A;51;1;9;;;61
22/07/2019;1;1;S2;S2 1 A02;3A;10;;;;;10
22/07/2019;1;1;S2;S2 1 A03;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A03;B;21;;2;2;;25
22/07/2019;1;1;S2;S2 1 A03;A;56;;14;2;;72
22/07/2019;1;1;S2;S2 1 A03;2A;16;;1;;;17
22/07/2019;1;1;S2;S2 1 A03;3A;;;;;;
22/07/2019;1;1;S2;S2 1 A04;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A04;B;3;;;;;3
22/07/2019;1;1;S2;S2 1 A04;A;34;;8;3;;45
22/07/2019;1;1;S2;S2 1 A04;2A;52;;9;7;;68
22/07/2019;1;1;S2;S2 1 A04;3A;21;1;3;2;;27
22/07/2019;1;1;S2;S2 1 A05;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A05;B;22;;1;;;23
22/07/2019;1;1;S2;S2 1 A05;A;51;;10;11;;72
22/07/2019;1;1;S2;S2 1 A05;2A;29;;4;8;;41
22/07/2019;1;1;S2;S2 1 A05;3A;10;;5;;;15
22/07/2019;1;1;S2;S2 1 A06;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A06;B;16;;1;4;;21
22/07/2019;1;1;S2;S2 1 A06;A;59;;2;8;1;70
22/07/2019;1;1;S2;S2 1 A06;2A;26;1;9;;1;37
22/07/2019;1;1;S2;S2 1 A06;3A;5;;1;;;6
22/07/2019;1;1;S2;S2 1 A07;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A07;B;2;;1;;;3
22/07/2019;1;1;S2;S2 1 A07;A;53;;3;;2;58
22/07/2019;1;1;S2;S2 1 A07;2A;62;;2;4;3;71
22/07/2019;1;1;S2;S2 1 A07;3A;7;;;1;;8
22/07/2019;1;1;S2;S2 1 A08;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A08;B;;;;;;
22/07/2019;1;1;S2;S2 1 A08;A;26;;2;4;;32
22/07/2019;1;1;S2;S2 1 A08;2A;64;2;16;10;;92
22/07/2019;1;1;S2;S2 1 A08;3A;14;;4;1;;19
22/07/2019;1;1;S2;S2 1 A09;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A09;B;12;;1;;;13
22/07/2019;1;1;S2;S2 1 A09;A;76;;10;1;2;89
22/07/2019;1;1;S2;S2 1 A09;2A;35;;8;3;;46
22/07/2019;1;1;S2;S2 1 A09;3A;;;;;;
22/07/2019;1;1;S2;S2 1 A10;C ;;;;;;
22/07/2019;1;1;S2;S2 1 A10;B;;;;;;
22/07/2019;1;1;S2;S2 1 A10;A;14;;3;;;17
22/07/2019;1;1;S2;S2 1 A10;2A;78;6;18;;;102
22/07/2019;1;1;S2;S2 1 A10;3A;25;1;8;;;34
22/07/2019;1;1;S2;S2 1 A11;C ;1;;;;;1
22/07/2019;1;1;S2;S2 1 A11;B;3;;;;;3
22/07/2019;1;1;S2;S2 1 A11;A;45;;7;9;3;64
