Harvest;H_Date;Mod;Box;Tree;Fruit;Weight
1;12/07/2018;S1M1;1;1;1;189.28
1;12/07/2018;S1M1;1;1;2;174.65
1;12/07/2018;S1M1;1;1;3;173.54
1;12/07/2018;S1M1;1;1;4;194.16
1;12/07/2018;S1M1;1;1;5;196.55
1;12/07/2018;S1M1;1;1;6;168.31
1;12/07/2018;S1M1;1;1;7;168.50
1;12/07/2018;S1M1;1;1;8;191.53
1;12/07/2018;S1M1;1;2;9;234.06
1;12/07/2018;S1M1;1;2;10;185.32
1;12/07/2018;S1M1;1;2;11;186.75
1;12/07/2018;S1M1;1;2;12;225.34
1;12/07/2018;S1M1;1;2;13;189.56
1;12/07/2018;S1M1;1;2;14;162.05
1;12/07/2018;S1M1;1;2;15;210.94
1;12/07/2018;S1M1;2;4;1;159.61
1;12/07/2018;S1M1;2;4;2;156.65
1;12/07/2018;S1M1;2;4;3;168.05
1;12/07/2018;S1M1;2;4;4;185.20
1;12/07/2018;S1M1;2;4;5;191.33
1;12/07/2018;S1M1;2;4;6;204.27
1;12/07/2018;S1M1;2;4;7;221.26
1;12/07/2018;S1M1;2;3;8;235.56
1;12/07/2018;S1M1;2;3;9;214.65
1;12/07/2018;S1M1;2;3;10;188.19
1;12/07/2018;S1M1;2;3;11;172.99
1;12/07/2018;S1M1;2;3;12;210.87
1;12/07/2018;S1M1;2;3;13;173.19
1;12/07/2018;S1M1;2;3;14;201.57
1;12/07/2018;S1M1;2;3;15;197.42
1;12/07/2018;S1M1;3;3;1;190.70
1;12/07/2018;S1M1;3;3;2;214.38
1;12/07/2018;S1M1;3;3;3;173.71
1;12/07/2018;S1M1;3;3;4;187.83
1;12/07/2018;S1M1;3;3;5;167.71
1;12/07/2018;S1M1;3;3;6;209.48
1;12/07/2018;S1M1;3;3;7;198.26
1;12/07/2018;S1M1;3;5;8;179.45
1;12/07/2018;S1M1;3;5;9;183.78
1;12/07/2018;S1M1;3;5;10;242.83
1;12/07/2018;S1M1;3;5;11;176.75
1;12/07/2018;S1M1;3;5;12;184.61
1;12/07/2018;S1M1;3;5;13;182.18
1;12/07/2018;S1M1;3;5;14;165.09
1;12/07/2018;S1M1;3;5;15;175.63
1;12/07/2018;S1M1;4;5;1;168.12
1;12/07/2018;S1M1;4;5;2;198.76
1;12/07/2018;S1M1;4;5;3;197.66
1;12/07/2018;S1M1;4;5;4;174.92
1;12/07/2018;S1M1;4;5;5;206.59
1;12/07/2018;S1M1;4;5;6;203.40
1;12/07/2018;S1M1;4;5;7;244.13
1;12/07/2018;S1M1;4;6;8;188.64
1;12/07/2018;S1M1;4;6;9;166.51
1;12/07/2018;S1M1;4;6;10;216.39
1;12/07/2018;S1M1;4;6;11;247.89
1;12/07/2018;S1M1;4;6;12;246.83
1;12/07/2018;S1M1;4;6;13;228.98
1;12/07/2018;S1M1;4;6;14;218.90
1;12/07/2018;S1M1;4;6;15;220.00
1;12/07/2018;S1M2;1;1;1;206.99
1;12/07/2018;S1M2;1;1;2;213.80
1;12/07/2018;S1M2;1;1;3;228.48
1;12/07/2018;S1M2;1;1;4;184.79
1;12/07/2018;S1M2;1;1;5;196.29
1;12/07/2018;S1M2;1;1;6;218.96
1;12/07/2018;S1M2;1;1;7;218.51
1;12/07/2018;S1M2;1;2;8;196.72
1;12/07/2018;S1M2;1;2;9;214.85
1;12/07/2018;S1M2;1;2;10;204.69
1;12/07/2018;S1M2;1;2;11;216.89
1;12/07/2018;S1M2;1;2;12;189.34
1;12/07/2018;S1M2;1;2;13;227.60
1;12/07/2018;S1M2;1;2;14;228.18
1;12/07/2018;S1M2;1;2;15;230.83
1;12/07/2018;S1M2;2;3;1;245.14
1;12/07/2018;S1M2;2;3;2;192.61
1;12/07/2018;S1M2;2;3;3;222.56
1;12/07/2018;S1M2;2;3;4;214.80
1;12/07/2018;S1M2;2;3;5;182.23
1;12/07/2018;S1M2;2;3;6;223.54
1;12/07/2018;S1M2;2;3;7;223.98
1;12/07/2018;S1M2;2;5;8;243.99
1;12/07/2018;S1M2;2;5;9;202.75
1;12/07/2018;S1M2;2;5;10;226.48
1;12/07/2018;S1M2;2;5;11;278.74
1;12/07/2018;S1M2;2;5;12;274.50
1;12/07/2018;S1M2;2;5;13;249.86
1;12/07/2018;S1M2;2;5;14;253.83
1;12/07/2018;S1M2;2;5;15;222.81
1;12/07/2018;S1M2;3;3;1;255.74
1;12/07/2018;S1M2;3;3;2;243.88
1;12/07/2018;S1M2;3;3;3;237.55
1;12/07/2018;S1M2;3;3;4;257.92
1;12/07/2018;S1M2;3;3;5;282.87
1;12/07/2018;S1M2;3;3;6;211.37
1;12/07/2018;S1M2;3;3;7;261.27
1;12/07/2018;S1M2;3;4;8;217.97
1;12/07/2018;S1M2;3;4;9;230.48
1;12/07/2018;S1M2;3;4;10;224.03
1;12/07/2018;S1M2;3;4;11;238.11
1;12/07/2018;S1M2;3;4;12;227.01
1;12/07/2018;S1M2;3;4;13;224.91
1;12/07/2018;S1M2;3;4;14;202.23
1;12/07/2018;S1M2;3;4;15;209.24
1;12/07/2018;S1M2;4;5;1;209.25
1;12/07/2018;S1M2;4;5;2;235.70
1;12/07/2018;S1M2;4;5;3;250.50
1;12/07/2018;S1M2;4;5;4;205.18
1;12/07/2018;S1M2;4;5;5;254.82
1;12/07/2018;S1M2;4;5;6;240.20
1;12/07/2018;S1M2;4;5;7;221.22
1;12/07/2018;S1M2;4;5;8;223.68
1;12/07/2018;S1M2;4;6;9;213.22
1;12/07/2018;S1M2;4;6;10;186.51
1;12/07/2018;S1M2;4;6;11;239.42
1;12/07/2018;S1M2;4;6;12;211.40
1;12/07/2018;S1M2;4;6;13;210.41
1;12/07/2018;S1M2;4;6;14;233.59
1;12/07/2018;S1M2;4;6;15;199.67
1;12/07/2018;S1M3;1;1;1;156.31
1;12/07/2018;S1M3;1;1;2;154.66
1;12/07/2018;S1M3;1;1;3;151.19
1;12/07/2018;S1M3;1;1;4;145.61
1;12/07/2018;S1M3;1;1;5;205.46
1;12/07/2018;S1M3;1;1;6;173.19
1;12/07/2018;S1M3;1;1;7;147.23
1;12/07/2018;S1M3;1;2;8;182.79
