sensor_HOBO;date_time_gmt_plus2;date;time;T_factor;T_C;Ha
20505161;19/07/19 18:00:00;19/07/19;18:00;15;14.46;90.781
20505161;19/07/19 18:05:00;19/07/19;18:05;15;14.604;92.12
20505161;19/07/19 18:10:00;19/07/19;18:10;15;14.819;92.97
20505161;19/07/19 18:15:00;19/07/19;18:15;15;15.01;93.424
20505161;19/07/19 18:20:00;19/07/19;18:20;15;15.106;93.43
20505161;19/07/19 18:25:00;19/07/19;18:25;15;14.699;88.357
20505161;19/07/19 18:30:00;19/07/19;18:30;15;14.101;81.185
20505161;19/07/19 18:35:00;19/07/19;18:35;15;13.861;84.027
20505161;19/07/19 18:40:00;19/07/19;18:40;15;13.837;87.369
20505161;19/07/19 18:45:00;19/07/19;18:45;15;13.933;89.898
20505161;19/07/19 18:50:00;19/07/19;18:50;15;14.101;91.895
20505161;19/07/19 18:55:00;19/07/19;18:55;15;14.268;93.378
20505161;19/07/19 19:00:00;19/07/19;19:00;15;14.484;94.087
20505161;19/07/19 19:05:00;19/07/19;19:05;15;14.699;94.841
20505161;19/07/19 19:10:00;19/07/19;19:10;15;14.891;95.113
20505161;19/07/19 19:15:00;19/07/19;19:15;15;15.01;95.122
20505161;19/07/19 19:20:00;19/07/19;19:20;15;14.699;92.125
20505161;19/07/19 19:25:00;19/07/19;19:25;15;14.196;85.403
20505161;19/07/19 19:30:00;19/07/19;19:30;15;13.981;86.346
20505161;19/07/19 19:35:00;19/07/19;19:35;15;13.981;89.096
20505161;19/07/19 19:40:00;19/07/19;19:40;15;14.053;91.315
20505161;19/07/19 19:45:00;19/07/19;19:45;15;14.22;92.935
20505161;19/07/19 19:50:00;19/07/19;19:50;15;14.412;94.082
20505161;19/07/19 19:55:00;19/07/19;19:55;15;14.628;94.836
20505161;19/07/19 20:00:00;19/07/19;20:00;15;14.819;95.64
20505161;19/07/19 20:05:00;19/07/19;20:05;15;15.01;95.656
20505161;19/07/19 20:10:00;19/07/19;20:10;15;14.963;95.119
20505161;19/07/19 20:15:00;19/07/19;20:15;15;14.436;88.207
20505161;19/07/19 20:20:00;19/07/19;20:20;15;14.029;85.182
20505161;19/07/19 20:25:00;19/07/19;20:25;15;13.933;87.777
20505161;19/07/19 20:30:00;19/07/19;20:30;15;13.981;90.409
20505161;19/07/19 20:35:00;19/07/19;20:35;15;14.125;92.096
20505161;19/07/19 20:40:00;19/07/19;20:40;15;14.316;93.608
20505161;19/07/19 20:45:00;19/07/19;20:45;15;14.508;94.576
20505161;19/07/19 20:50:00;19/07/19;20:50;15;14.699;95.362
20505161;19/07/19 20:55:00;19/07/19;20:55;15;14.891;95.646
20505161;19/07/19 21:00:00;19/07/19;21:00;15;15.034;95.658
20505161;19/07/19 21:05:00;19/07/19;21:05;15;14.604;91.53
20505161;19/07/19 21:10:00;19/07/19;21:10;15;14.005;83.533
20505161;19/07/19 21:15:00;19/07/19;21:15;15;13.765;85.752
20505161;19/07/19 21:20:00;19/07/19;21:20;15;13.765;88.786
20505161;19/07/19 21:25:00;19/07/19;21:25;15;13.861;91.12
20505161;19/07/19 21:30:00;19/07/19;21:30;15;14.005;92.922
20505161;19/07/19 21:35:00;19/07/19;21:35;15;14.196;94.067
20505161;19/07/19 21:40:00;19/07/19;21:40;15;14.412;95.077
20505161;19/07/19 21:45:00;19/07/19;21:45;15;14.628;95.625
20505161;19/07/19 21:50:00;19/07/19;21:50;15;14.819;96.198
20505161;19/07/19 21:55:00;19/07/19;21:55;15;14.986;96.212
20505161;19/07/19 22:00:00;19/07/19;22:00;15;14.699;93.865
20505161;19/07/19 22:05:00;19/07/19;22:05;15;14.125;85.866
20505161;19/07/19 22:10:00;19/07/19;22:10;15;13.861;86.347
20505161;19/07/19 22:15:00;19/07/19;22:15;15;13.813;89.092
20505161;19/07/19 22:20:00;19/07/19;22:20;15;13.909;91.309
20505161;19/07/19 22:25:00;19/07/19;22:25;15;14.077;92.926
20505161;19/07/19 22:30:00;19/07/19;22:30;15;14.244;94.311
20505161;19/07/19 22:35:00;19/07/19;22:35;15;14.46;95.081
20505161;19/07/19 22:40:00;19/07/19;22:40;15;14.652;95.627
20505161;19/07/19 22:45:00;19/07/19;22:45;15;14.867;95.92
20505161;19/07/19 22:50:00;19/07/19;22:50;15;14.986;96.212
