harvest_date; harvest_n; t_mean
2018-07-12;1;2
2018-07-13;1;2
2018-07-14;1;20
2018-07-15;1;20
2018-07-16;1;20
2018-07-17;1;20
2018-07-18;1;20
2018-07-19;1;20
2018-07-20;1;20
2018-07-21;1;20
2018-07-22;1;20
2018-07-23;1;20
2018-07-24;1;20
2018-07-25;1;20
2018-07-26;1;20
2018-07-27;1;20
2018-07-19;2;2
2018-07-20;2;2
2018-07-21;2;20
2018-07-22;2;20
2018-07-23;2;20
2018-07-24;2;20
2018-07-25;2;20
2018-07-26;2;20
2018-07-27;2;20
2018-07-28;2;20
2018-07-29;2;20
2018-07-30;2;20
2018-07-31;2;20
2018-08-01;2;20
2018-08-02;2;20
2018-08-03;2;20
2018-07-27;3;2
2018-07-28;3;2
2018-07-29;3;20
2018-07-30;3;20
2018-07-31;3;20
2018-08-01;3;20
2018-08-02;3;20
2018-08-03;3;20
2018-08-04;3;20
2018-08-05;3;20
2018-08-06;3;20
2018-08-07;3;20
2018-08-08;3;20
2018-08-09;3;20
2018-08-10;3;20
2018-08-11;3;208
