harvest_n;harvest_date;dah;mod;box;tree;n_fruit;perc_infection;Pathogene;infection
1;12/07/2018;0;S1M1;1;1;1;-;-;0
1;12/07/2018;0;S1M1;1;1;2;-;-;0
1;12/07/2018;0;S1M1;1;1;3;-;-;0
1;12/07/2018;0;S1M1;1;1;4;-;-;0
1;12/07/2018;0;S1M1;1;1;5;-;-;0
1;12/07/2018;0;S1M1;1;1;6;-;-;0
1;12/07/2018;0;S1M1;1;1;7;-;-;0
1;12/07/2018;0;S1M1;1;1;8;-;-;0
1;12/07/2018;0;S1M1;1;2;9;-;-;0
1;12/07/2018;0;S1M1;1;2;10;-;-;0
1;12/07/2018;0;S1M1;1;2;11;-;-;0
1;12/07/2018;0;S1M1;1;2;12;-;-;0
1;12/07/2018;0;S1M1;1;2;13;-;-;0
1;12/07/2018;0;S1M1;1;2;14;-;-;0
1;12/07/2018;0;S1M1;1;2;15;-;-;0
1;12/07/2018;0;S1M1;2;4;1;-;-;0
1;12/07/2018;0;S1M1;2;4;2;-;-;0
1;12/07/2018;0;S1M1;2;4;3;-;-;0
1;12/07/2018;0;S1M1;2;4;4;-;-;0
1;12/07/2018;0;S1M1;2;4;5;-;-;0
1;12/07/2018;0;S1M1;2;4;6;-;-;0
1;12/07/2018;0;S1M1;2;4;7;-;-;0
1;12/07/2018;0;S1M1;2;3;8;-;-;0
1;12/07/2018;0;S1M1;2;3;9;-;-;0
1;12/07/2018;0;S1M1;2;3;10;-;-;0
1;12/07/2018;0;S1M1;2;3;11;-;-;0
1;12/07/2018;0;S1M1;2;3;12;-;-;0
1;12/07/2018;0;S1M1;2;3;13;-;-;0
1;12/07/2018;0;S1M1;2;3;14;-;-;0
1;12/07/2018;0;S1M1;2;3;15;-;-;0
1;12/07/2018;0;S1M1;3;3;1;-;-;0
1;12/07/2018;0;S1M1;3;3;2;-;-;0
1;12/07/2018;0;S1M1;3;3;3;-;-;0
1;12/07/2018;0;S1M1;3;3;4;-;-;0
1;12/07/2018;0;S1M1;3;3;5;-;-;0
1;12/07/2018;0;S1M1;3;3;6;-;-;0
1;12/07/2018;0;S1M1;3;3;7;-;-;0
1;12/07/2018;0;S1M1;3;5;8;-;-;0
1;12/07/2018;0;S1M1;3;5;9;-;-;0
1;12/07/2018;0;S1M1;3;5;10;-;-;0
1;12/07/2018;0;S1M1;3;5;11;-;-;0
1;12/07/2018;0;S1M1;3;5;12;-;-;0
1;12/07/2018;0;S1M1;3;5;13;-;-;0
1;12/07/2018;0;S1M1;3;5;14;-;-;0
1;12/07/2018;0;S1M1;3;5;15;-;-;0
1;12/07/2018;0;S1M1;4;5;1;-;-;0
1;12/07/2018;0;S1M1;4;5;2;-;-;0
1;12/07/2018;0;S1M1;4;5;3;-;-;0
1;12/07/2018;0;S1M1;4;5;4;-;-;0
1;12/07/2018;0;S1M1;4;5;5;-;-;0
1;12/07/2018;0;S1M1;4;5;6;-;-;0
1;12/07/2018;0;S1M1;4;5;7;-;-;0
1;12/07/2018;0;S1M1;4;6;8;-;-;0
1;12/07/2018;0;S1M1;4;6;9;-;-;0
1;12/07/2018;0;S1M1;4;6;10;-;-;0
1;12/07/2018;0;S1M1;4;6;11;-;-;0
1;12/07/2018;0;S1M1;4;6;12;-;-;0
1;12/07/2018;0;S1M1;4;6;13;-;-;0
1;12/07/2018;0;S1M1;4;6;14;-;-;0
1;12/07/2018;0;S1M1;4;6;15;-;-;0
1;12/07/2018;0;S1M2;1;1;1;-;-;0
1;12/07/2018;0;S1M2;1;1;2;-;-;0
1;12/07/2018;0;S1M2;1;1;3;-;-;0
1;12/07/2018;0;S1M2;1;1;4;-;-;0
1;12/07/2018;0;S1M2;1;1;5;-;-;0
1;12/07/2018;0;S1M2;1;1;6;-;-;0
