cultivar;harvest_date;harvest_n;temp;irr;box;fruit_n;weight;dah;obs_date;infection;perc_infection;Pathogene
Nectarlove;22/07/2019;1;T2;50%;1;1;132.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;2;122.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;3;170.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;4;172.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;5;127.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;6;127.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;7;132.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;8;136.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;9;146.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;10;144.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;11;127.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;12;121;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;13;150.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;14;126.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;15;153.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;16;158.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;17;165.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;18;168.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;19;142.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;1;20;183.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;1;175.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;2;162.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;3;135.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;4;101;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;5;110.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;6;103.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;7;154.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;8;142.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;9;115.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;10;122.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;11;146.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;12;128.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;13;164.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;14;142.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;15;137.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;16;139.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;17;164.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;18;146.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;19;161.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;2;20;170.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;1;162.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;2;151.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;3;154.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;4;145.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;5;142.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;6;144.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;7;149;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;8;144.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;9;146.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;10;149.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;11;139.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;12;155.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;13;204.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;14;149.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;15;161.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;16;155.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;17;144.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;18;169.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;19;133.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;3;20;160.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;1;156.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;2;150.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;3;177.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;4;185.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;5;127.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;6;128;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;7;143.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;8;142.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;9;136.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;10;150;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;11;104.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;12;117.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;13;157.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;14;117.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;15;116.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;16;166.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;17;118.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;18;128.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;19;150.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;20;160.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;1;171.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;2;151.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;3;152.3;0;22/07/2019;0;;
